Detector;Time;qPKW;vPKW
e1_16O;1320;34;40
e1_16O;1380;22;40
e1_2I;0;48;40
e1_2I;60;26;40
e1_2I;120;17;40
e1_2I;180;16;40
e1_2I;240;19;40
e1_2I;300;36;40
e1_2I;360;107;40
e1_2I;420;188;40
e1_2I;480;285;40
e1_2I;540;311;40
e1_2I;600;321;40
e1_2I;660;350;40
e1_2I;720;387;40
e1_2I;780;413;40
e1_2I;840;400;40
e1_2I;900;432;40
e1_2I;960;484;40
e1_2I;1020;480;40
e1_2I;1080;435;40
e1_2I;1140;319;40
e1_2I;1200;242;40
e1_2I;1260;182;40
e1_2I;1320;122;40
e1_2I;1380;81;40
e1_2O;0;53;40
e1_2O;60;27;40
e1_2O;120;18;40
e1_2O;180;24;40
e1_2O;240;22;40
e1_2O;300;47;40
e1_2O;360;108;40
e1_2O;420;209;40
e1_2O;480;307;40
e1_2O;540;299;40
e1_2O;600;298;40
e1_2O;660;323;40
e1_2O;720;367;40
e1_2O;780;393;40
e1_2O;840;388;40
e1_2O;900;421;40
e1_2O;960;464;40
e1_2O;1020;480;40
e1_2O;1080;437;40
e1_2O;1140;336;40
e1_2O;1200;264;40
e1_2O;1260;201;40
e1_2O;1320;135;40
e1_2O;1380;86;40
e1_20I;0;44;40
e1_20I;60;23;40
e1_20I;120;15;40
e1_20I;180;15;40
e1_20I;240;17;40
e1_20I;300;33;40
e1_20I;360;98;40
e1_20I;420;172;40
e1_20I;480;261;40
e1_20I;540;284;40
e1_20I;600;294;40
e1_20I;660;320;40
e1_20I;720;354;40
e1_20I;780;378;40
e1_20I;840;366;40
e1_20I;900;395;40
e1_20I;960;443;40
e1_20I;1020;439;40
e1_20I;1080;398;40
e1_20I;1140;292;40
e1_20I;1200;222;40
e1_20I;1260;167;40
e1_20I;1320;112;40
e1_20I;1380;74;40
e1_20O;0;49;40
e1_20O;60;25;40
e1_20O;120;16;40
e1_20O;180;22;40
e1_20O;240;20;40
e1_20O;300;43;40
e1_20O;360;99;40
e1_20O;420;191;40
e1_20O;480;280;40
e1_20O;540;273;40
e1_20O;600;273;40
e1_20O;660;296;40
e1_20O;720;336;40
e1_20O;780;360;40
e1_20O;840;355;40
e1_20O;900;385;40
e1_20O;960;424;40
e1_20O;1020;439;40
e1_20O;1080;400;40
e1_20O;1140;307;40
e1_20O;1200;242;40
e1_20O;1260;184;40
e1_20O;1320;123;40
e1_20O;1380;78;40
27843MI;0;36;40
27843MI;60;13;40
27843MI;120;13;40
27843MI;180;18;40
27843MI;240;30;40
27843MI;300;100;40
27843MI;360;193;40
27843MI;420;229;40
27843MI;480;213;40
27843MI;540;202;40
27843MI;600;196;40
27843MI;660;174;40
27843MI;720;196;40
27843MI;780;195;40
27843MI;840;193;40
27843MI;900;168;40
27843MI;960;180;40
27843MI;1020;179;40
27843MI;1080;166;40
27843MI;1140;178;40
27843MI;1200;149;40
27843MI;1260;134;40
27843MI;1320;118;40
27843MI;1380;83;40
27843MO;0;40;40
27843MO;60;14;40
27843MO;120;13;40
27843MO;180;26;40
27843MO;240;34;40
27843MO;300;132;40
27843MO;360;195;40
27843MO;420;254;40
27843MO;480;229;40
27843MO;540;194;40
27843MO;600;182;40
27843MO;660;160;40
27843MO;720;185;40
27843MO;780;185;40
27843MO;840;187;40
27843MO;900;163;40
27843MO;960;172;40
27843MO;1020;179;40
27843MO;1080;166;40
27843MO;1140;188;40
27843MO;1200;163;40
27843MO;1260;147;40
27843MO;1320;131;40
27843MO;1380;87;40
270733;0;10;40
270733;60;6;40
270733;120;4;40
270733;180;4;40
270733;240;4;40
270733;300;9;40
270733;360;22;40
270733;420;40;40
270733;480;58;40
270733;540;61;40
270733;600;62;40
270733;660;67;40
270733;720;74;40
270733;780;80;40
270733;840;78;40
270733;900;85;40
270733;960;94;40
270733;1020;96;40
270733;1080;86;40
270733;1140;65;40
270733;1200;50;40
270733;1260;38;40
270733;1320;25;40
270733;1380;16;40
294101I;0;3;40
294101I;60;2;40
294101I;120;1;40
294101I;180;1;40
294101I;240;1;40
294101I;300;2;40
294101I;360;7;40
294101I;420;12;40
294101I;480;18;40
294101I;540;20;40
294101I;600;21;40
294101I;660;23;40
294101I;720;25;40
294101I;780;27;40
294101I;840;26;40
294101I;900;28;40
294101I;960;31;40
294101I;1020;31;40
294101I;1080;28;40
294101I;1140;21;40
294101I;1200;16;40
294101I;1260;12;40
294101I;1320;8;40
294101I;1380;5;40
294101O;0;3;40
294101O;60;2;40
294101O;120;1;40
294101O;180;2;40
294101O;240;1;40
294101O;300;3;40
294101O;360;7;40
294101O;420;13;40
294101O;480;20;40
294101O;540;19;40
294101O;600;19;40
294101O;660;21;40
294101O;720;24;40
294101O;780;25;40
294101O;840;25;40
294101O;900;27;40
294101O;960;30;40
294101O;1020;31;40
294101O;1080;28;40
294101O;1140;22;40
294101O;1200;17;40
294101O;1260;13;40
294101O;1320;9;40
294101O;1380;6;40
e1_22I;0;24;40
e1_22I;60;13;40
e1_22I;120;8;40
e1_22I;180;8;40
e1_22I;240;10;40
e1_22I;300;18;40
e1_22I;360;54;40
e1_22I;420;95;40
e1_22I;480;144;40
e1_22I;540;157;40
e1_22I;600;162;40
e1_22I;660;177;40
e1_22I;720;196;40
e1_22I;780;209;40
e1_22I;840;202;40
e1_22I;900;219;40
e1_22I;960;245;40
e1_22I;1020;243;40
e1_22I;1080;220;40
e1_22I;1140;161;40
e1_22I;1200;122;40
e1_22I;1260;92;40
e1_22I;1320;62;40
e1_22I;1380;41;40
e1_22O;0;27;40
e1_22O;60;14;40
e1_22O;120;9;40
e1_22O;180;12;40
e1_22O;240;11;40
e1_22O;300;24;40
e1_22O;360;54;40
e1_22O;420;106;40
e1_22O;480;155;40
e1_22O;540;151;40
e1_22O;600;151;40
e1_22O;660;163;40
e1_22O;720;186;40
e1_22O;780;199;40
e1_22O;840;196;40
e1_22O;900;213;40
e1_22O;960;235;40
e1_22O;1020;243;40
e1_22O;1080;221;40
e1_22O;1140;170;40
e1_22O;1200;134;40
e1_22O;1260;102;40
e1_22O;1320;68;40
e1_22O;1380;43;40
27633MI;0;87;40
27633MI;60;36;40
27633MI;120;21;40
27633MI;180;10;40
27633MI;240;7;40
27633MI;300;19;40
27633MI;360;55;40
27633MI;420;136;40
27633MI;480;231;40
27633MI;540;253;40
27633MI;600;264;40
27633MI;660;305;40
27633MI;720;367;40
27633MI;780;398;40
27633MI;840;429;40
27633MI;900;420;40
27633MI;960;465;40
27633MI;1020;401;40
27633MI;1080;412;40
27633MI;1140;357;40
27633MI;1200;279;40
27633MI;1260;202;40
27633MI;1320;173;40
27633MI;1380;124;40
27633MO;0;96;40
27633MO;60;37;40
27633MO;120;23;40
27633MO;180;15;40
27633MO;240;9;40
27633MO;300;24;40
27633MO;360;56;40
27633MO;420;152;40
27633MO;480;248;40
27633MO;540;243;40
27633MO;600;244;40
27633MO;660;281;40
27633MO;720;348;40
27633MO;780;379;40
27633MO;840;415;40
27633MO;900;408;40
27633MO;960;446;40
27633MO;1020;401;40
27633MO;1080;414;40
27633MO;1140;376;40
27633MO;1200;305;40
27633MO;1260;223;40
27633MO;1320;192;40
27633MO;1380;132;40
e1_24I;0;25;40
e1_24I;60;13;40
e1_24I;120;9;40
e1_24I;180;9;40
e1_24I;240;10;40
e1_24I;300;19;40
e1_24I;360;56;40
e1_24I;420;98;40
e1_24I;480;149;40
e1_24I;540;162;40
e1_24I;600;167;40
e1_24I;660;182;40
e1_24I;720;202;40
e1_24I;780;215;40
e1_24I;840;209;40
e1_24I;900;225;40
e1_24I;960;252;40
e1_24I;1020;250;40
e1_24I;1080;226;40
e1_24I;1140;166;40
e1_24I;1200;126;40
e1_24I;1260;95;40
e1_24I;1320;64;40
e1_24I;1380;42;40
e1_24O;0;28;40
e1_24O;60;14;40
e1_24O;120;9;40
e1_24O;180;12;40
e1_24O;240;11;40
e1_24O;300;25;40
e1_24O;360;56;40
e1_24O;420;109;40
e1_24O;480;160;40
e1_24O;540;156;40
e1_24O;600;155;40
e1_24O;660;168;40
e1_24O;720;191;40
e1_24O;780;205;40
e1_24O;840;202;40
e1_24O;900;219;40
e1_24O;960;242;40
e1_24O;1020;250;40
e1_24O;1080;228;40
e1_24O;1140;175;40
e1_24O;1200;138;40
e1_24O;1260;105;40
e1_24O;1320;70;40
e1_24O;1380;45;40
27626I;0;57;40
27626I;60;28;40
27626I;120;28;40
27626I;180;24;40
27626I;240;26;40
27626I;300;93;40
27626I;360;227;40
27626I;420;356;40
27626I;480;390;40
27626I;540;343;40
27626I;600;331;40
27626I;660;333;40
27626I;720;335;40
27626I;780;307;40
27626I;840;366;40
27626I;900;449;40
27626I;960;435;40
27626I;1020;410;40
27626I;1080;351;40
27626I;1140;252;40
27626I;1200;223;40
27626I;1260;187;40
27626I;1320;145;40
27626I;1380;113;40
27626O;0;49;40
27626O;60;22;40
27626O;120;12;40
27626O;180;23;40
27626O;240;23;40
27626O;300;60;40
27626O;360;131;40
27626O;420;192;40
27626O;480;179;40
27626O;540;140;40
27626O;600;198;40
27626O;660;169;40
27626O;720;240;40
27626O;780;259;40
27626O;840;365;40
27626O;900;387;40
27626O;960;371;40
27626O;1020;325;40
27626O;1080;255;40
27626O;1140;251;40
27626O;1200;321;40
27626O;1260;256;40
27626O;1320;157;40
27626O;1380;111;40
e1_1I;0;0;40
e1_1I;60;0;40
e1_1I;120;0;40
e1_1I;180;0;40
e1_1I;240;0;40
e1_1I;300;0;40
e1_1I;360;0;40
e1_1I;420;0;40
e1_1I;480;0;40
e1_1I;540;0;40
e1_1I;600;0;40
e1_1I;660;0;40
e1_1I;720;0;40
e1_1I;780;0;40
e1_1I;840;0;40
e1_1I;900;0;40
e1_1I;960;0;40
e1_1I;1020;0;40
e1_1I;1080;0;40
e1_1I;1140;0;40
e1_1I;1200;0;40
e1_1I;1260;0;40
e1_1I;1320;0;40
e1_1I;1380;0;40
e1_1O;0;0;40
e1_1O;60;0;40
e1_1O;120;0;40
e1_1O;180;0;40
e1_1O;240;0;40
e1_1O;300;0;40
e1_1O;360;0;40
e1_1O;420;0;40
e1_1O;480;0;40
e1_1O;540;0;40
e1_1O;600;0;40
e1_1O;660;0;40
e1_1O;720;0;40
e1_1O;780;0;40
e1_1O;840;0;40
e1_1O;900;0;40
e1_1O;960;0;40
e1_1O;1020;0;40
e1_1O;1080;0;40
e1_1O;1140;0;40
e1_1O;1200;0;40
e1_1O;1260;0;40
e1_1O;1320;0;40
e1_1O;1380;0;40
e1_5I;0;0;40
e1_5I;60;0;40
e1_5I;120;0;40
e1_5I;180;0;40
e1_5I;240;0;40
e1_5I;300;0;40
e1_5I;360;0;40
e1_5I;420;0;40
e1_5I;480;0;40
e1_5I;540;0;40
e1_5I;600;0;40
e1_5I;660;0;40
e1_5I;720;0;40
e1_5I;780;0;40
e1_5I;840;0;40
e1_5I;900;0;40
e1_5I;960;0;40
e1_5I;1020;0;40
e1_5I;1080;0;40
e1_5I;1140;0;40
e1_5I;1200;0;40
e1_5I;1260;0;40
e1_5I;1320;0;40
e1_5I;1380;0;40
260073I;0;5;40
260073I;60;3;40
260073I;120;2;40
260073I;180;2;40
260073I;240;2;40
260073I;300;4;40
260073I;360;12;40
260073I;420;21;40
260073I;480;32;40
260073I;540;35;40
260073I;600;36;40
260073I;660;39;40
260073I;720;43;40
260073I;780;46;40
260073I;840;45;40
260073I;900;48;40
260073I;960;54;40
260073I;1020;53;40
260073I;1080;48;40
260073I;1140;35;40
260073I;1200;27;40
260073I;1260;20;40
260073I;1320;14;40
260073I;1380;9;40
260073O;0;6;40
260073O;60;3;40
260073O;120;2;40
260073O;180;3;40
260073O;240;2;40
260073O;300;5;40
260073O;360;12;40
260073O;420;23;40
260073O;480;34;40
260073O;540;33;40
260073O;600;33;40
260073O;660;36;40
260073O;720;41;40
260073O;780;44;40
260073O;840;43;40
260073O;900;47;40
260073O;960;52;40
260073O;1020;53;40
260073O;1080;49;40
260073O;1140;37;40
260073O;1200;29;40
260073O;1260;22;40
260073O;1320;15;40
260073O;1380;10;40
e1_0O;0;0;40
e1_0O;60;0;40
e1_0O;120;0;40
e1_0O;180;0;40
e1_0O;240;0;40
e1_0O;300;0;40
e1_0O;360;0;40
e1_0O;420;0;40
e1_0O;480;0;40
e1_0O;540;0;40
e1_0O;600;0;40
e1_0O;660;0;40
e1_0O;720;0;40
e1_0O;780;0;40
e1_0O;840;0;40
e1_0O;900;0;40
e1_0O;960;0;40
e1_0O;1020;0;40
e1_0O;1080;0;40
e1_0O;1140;0;40
e1_0O;1200;0;40
e1_0O;1260;0;40
e1_0O;1320;0;40
e1_0O;1380;0;40
373944MI;0;14;40
373944MI;60;7;40
373944MI;120;5;40
373944MI;180;5;40
373944MI;240;5;40
373944MI;300;10;40
373944MI;360;30;40
373944MI;420;53;40
373944MI;480;80;40
373944MI;540;87;40
373944MI;600;90;40
373944MI;660;98;40
373944MI;720;109;40
373944MI;780;116;40
373944MI;840;112;40
373944MI;900;121;40
373944MI;960;136;40
373944MI;1020;135;40
373944MI;1080;122;40
373944MI;1140;90;40
373944MI;1200;68;40
373944MI;1260;51;40
373944MI;1320;34;40
373944MI;1380;23;40
373944MO;0;15;40
373944MO;60;8;40
373944MO;120;5;40
373944MO;180;7;40
373944MO;240;6;40
373944MO;300;13;40
373944MO;360;30;40
373944MO;420;59;40
373944MO;480;86;40
373944MO;540;84;40
373944MO;600;84;40
373944MO;660;91;40
373944MO;720;103;40
373944MO;780;110;40
373944MO;840;109;40
373944MO;900;118;40
373944MO;960;130;40
373944MO;1020;135;40
373944MO;1080;123;40
373944MO;1140;94;40
373944MO;1200;74;40
373944MO;1260;56;40
373944MO;1320;38;40
373944MO;1380;24;40
280214I;0;2;40
280214I;60;1;40
280214I;120;1;40
280214I;180;1;40
280214I;240;1;40
280214I;300;2;40
280214I;360;5;40
280214I;420;9;40
280214I;480;14;40
280214I;540;15;40
280214I;600;15;40
280214I;660;17;40
280214I;720;18;40
280214I;780;20;40
280214I;840;19;40
280214I;900;21;40
280214I;960;23;40
280214I;1020;23;40
280214I;1080;21;40
280214I;1140;15;40
280214I;1200;12;40
280214I;1260;9;40
280214I;1320;6;40
280214I;1380;4;40
280214O;0;3;40
280214O;60;1;40
280214O;120;1;40
280214O;180;1;40
280214O;240;1;40
280214O;300;2;40
280214O;360;5;40
280214O;420;10;40
280214O;480;15;40
280214O;540;14;40
280214O;600;14;40
280214O;660;15;40
280214O;720;17;40
280214O;780;19;40
280214O;840;18;40
280214O;900;20;40
280214O;960;22;40
280214O;1020;23;40
280214O;1080;21;40
280214O;1140;16;40
280214O;1200;13;40
280214O;1260;10;40
280214O;1320;6;40
280214O;1380;4;40
e1_13I;0;5;40
e1_13I;60;2;40
e1_13I;120;2;40
e1_13I;180;2;40
e1_13I;240;2;40
e1_13I;300;4;40
e1_13I;360;10;40
e1_13I;420;21;40
e1_13I;480;29;40
e1_13I;540;31;40
e1_13I;600;31;40
e1_13I;660;34;40
e1_13I;720;39;40
e1_13I;780;41;40
e1_13I;840;40;40
e1_13I;900;43;40
e1_13I;960;47;40
e1_13I;1020;48;40
e1_13I;1080;44;40
e1_13I;1140;33;40
e1_13I;1200;25;40
e1_13I;1260;19;40
e1_13I;1320;13;40
e1_13I;1380;8;40
250229;0;5;40
250229;60;2;40
250229;120;2;40
250229;180;2;40
250229;240;2;40
250229;300;4;40
250229;360;10;40
250229;420;19;40
250229;480;29;40
250229;540;31;40
250229;600;31;40
250229;660;33;40
250229;720;37;40
250229;780;41;40
250229;840;39;40
250229;900;43;40
250229;960;47;40
250229;1020;48;40
250229;1080;44;40
250229;1140;33;40
250229;1200;25;40
250229;1260;19;40
250229;1320;13;40
250229;1380;8;40
e1_11I;0;6;40
e1_11I;60;3;40
e1_11I;120;2;40
e1_11I;180;2;40
e1_11I;240;2;40
e1_11I;300;5;40
e1_11I;360;12;40
e1_11I;420;23;40
e1_11I;480;35;40
e1_11I;540;35;40
e1_11I;600;36;40
e1_11I;660;39;40
e1_11I;720;44;40
e1_11I;780;47;40
e1_11I;840;46;40
e1_11I;900;50;40
e1_11I;960;55;40
e1_11I;1020;56;40
e1_11I;1080;50;40
e1_11I;1140;39;40
e1_11I;1200;29;40
e1_11I;1260;23;40
e1_11I;1320;15;40
e1_11I;1380;10;40
359206O;0;3;40
359206O;60;2;40
359206O;120;1;40
359206O;180;1;40
359206O;240;2;40
359206O;300;2;40
359206O;360;6;40
359206O;420;11;40
359206O;480;17;40
359206O;540;17;40
359206O;600;17;40
359206O;660;19;40
359206O;720;21;40
359206O;780;23;40
359206O;840;22;40
359206O;900;24;40
359206O;960;27;40
359206O;1020;28;40
359206O;1080;24;40
359206O;1140;19;40
359206O;1200;15;40
359206O;1260;11;40
359206O;1320;7;40
359206O;1380;4;40
e1_7O;0;5;40
e1_7O;60;2;40
e1_7O;120;2;40
e1_7O;180;2;40
e1_7O;240;2;40
e1_7O;300;4;40
e1_7O;360;10;40
e1_7O;420;20;40
e1_7O;480;29;40
e1_7O;540;31;40
e1_7O;600;31;40
e1_7O;660;34;40
e1_7O;720;39;40
e1_7O;780;41;40
e1_7O;840;40;40
e1_7O;900;43;40
e1_7O;960;47;40
e1_7O;1020;48;40
e1_7O;1080;44;40
e1_7O;1140;33;40
e1_7O;1200;25;40
e1_7O;1260;19;40
e1_7O;1320;13;40
e1_7O;1380;8;40
e1_9I;0;5;40
e1_9I;60;3;40
e1_9I;120;2;40
e1_9I;180;2;40
e1_9I;240;2;40
e1_9I;300;4;40
e1_9I;360;11;40
e1_9I;420;19;40
e1_9I;480;29;40
e1_9I;540;31;40
e1_9I;600;32;40
e1_9I;660;35;40
e1_9I;720;39;40
e1_9I;780;41;40
e1_9I;840;40;40
e1_9I;900;43;40
e1_9I;960;48;40
e1_9I;1020;48;40
e1_9I;1080;44;40
e1_9I;1140;32;40
e1_9I;1200;24;40
e1_9I;1260;18;40
e1_9I;1320;12;40
e1_9I;1380;8;40
e1_9O;0;5;40
e1_9O;60;3;40
e1_9O;120;2;40
e1_9O;180;2;40
e1_9O;240;2;40
e1_9O;300;5;40
e1_9O;360;11;40
e1_9O;420;21;40
e1_9O;480;31;40
e1_9O;540;30;40
e1_9O;600;30;40
e1_9O;660;32;40
e1_9O;720;37;40
e1_9O;780;39;40
e1_9O;840;39;40
e1_9O;900;42;40
e1_9O;960;46;40
e1_9O;1020;48;40
e1_9O;1080;44;40
e1_9O;1140;34;40
e1_9O;1200;26;40
e1_9O;1260;20;40
e1_9O;1320;13;40
e1_9O;1380;9;40
27414I;0;52;40
27414I;60;31;40
27414I;120;25;40
27414I;180;16;40
27414I;240;22;40
27414I;300;54;40
27414I;360;127;40
27414I;420;233;40
27414I;480;246;40
27414I;540;259;40
27414I;600;202;40
27414I;660;212;40
27414I;720;232;40
27414I;780;227;40
27414I;840;253;40
27414I;900;235;40
27414I;960;290;40
27414I;1020;273;40
27414I;1080;218;40
27414I;1140;212;40
27414I;1200;182;40
27414I;1260;154;40
27414I;1320;120;40
27414I;1380;79;40
27414O;0;25;40
27414O;60;19;40
27414O;120;12;40
27414O;180;13;40
27414O;240;3;40
27414O;300;14;40
27414O;360;49;40
27414O;420;77;40
27414O;480;135;40
27414O;540;114;40
27414O;600;106;40
27414O;660;101;40
27414O;720;105;40
27414O;780;100;40
27414O;840;101;40
27414O;900;103;40
27414O;960;113;40
27414O;1020;135;40
27414O;1080;115;40
27414O;1140;80;40
27414O;1200;72;40
27414O;1260;45;40
27414O;1320;43;40
27414O;1380;29;40
_e1_27O;0;251;40
_e1_27O;60;152;40
_e1_27O;120;91;40
_e1_27O;180;76;40
_e1_27O;240;103;40
_e1_27O;300;416;40
_e1_27O;360;1282;40
_e1_27O;420;2062;40
_e1_27O;480;2073;40
_e1_27O;540;1673;40
_e1_27O;600;1604;40
_e1_27O;660;1286;40
_e1_27O;720;1308;40
_e1_27O;780;1218;40
_e1_27O;840;1392;40
_e1_27O;900;1335;40
_e1_27O;960;1425;40
_e1_27O;1020;1650;40
_e1_27O;1080;1477;40
_e1_27O;1140;976;40
_e1_27O;1200;868;40
_e1_27O;1260;765;40
_e1_27O;1320;660;40
_e1_27O;1380;426;40
19400;0;251;40
19400;60;152;40
19400;120;91;40
19400;180;76;40
19400;240;103;40
19400;300;416;40
19400;360;1282;40
19400;420;2062;40
19400;480;2073;40
19400;540;1673;40
19400;600;1604;40
19400;660;1286;40
19400;720;1308;40
19400;780;1218;40
19400;840;1392;40
19400;900;1335;40
19400;960;1425;40
19400;1020;1650;40
19400;1080;1477;40
19400;1140;976;40
19400;1200;868;40
19400;1260;765;40
19400;1320;659;40
19400;1380;426;40
_5990I;0;46;40
_5990I;60;28;40
_5990I;120;26;40
_5990I;180;14;40
_5990I;240;20;40
_5990I;300;73;40
_5990I;360;175;40
_5990I;420;460;40
_5990I;480;402;40
_5990I;540;308;40
_5990I;600;245;40
_5990I;660;201;40
_5990I;720;257;40
_5990I;780;241;40
_5990I;840;265;40
_5990I;900;284;40
_5990I;960;241;40
_5990I;1020;239;40
_5990I;1080;235;40
_5990I;1140;240;40
_5990I;1200;164;40
_5990I;1260;131;40
_5990I;1320;124;40
_5990I;1380;86;40
_5990O;0;136;40
_5990O;60;87;40
_5990O;120;54;40
_5990O;180;53;40
_5990O;240;31;40
_5990O;300;198;40
_5990O;360;332;40
_5990O;420;504;40
_5990O;480;556;40
_5990O;540;551;40
_5990O;600;524;40
_5990O;660;488;40
_5990O;720;533;40
_5990O;780;570;40
_5990O;840;614;40
_5990O;900;772;40
_5990O;960;805;40
_5990O;1020;858;40
_5990O;1080;737;40
_5990O;1140;739;40
_5990O;1200;571;40
_5990O;1260;429;40
_5990O;1320;463;40
_5990O;1380;323;40
_e1_28I;0;94;40
_e1_28I;60;59;40
_e1_28I;120;42;40
_e1_28I;180;34;40
_e1_28I;240;24;40
_e1_28I;300;123;40
_e1_28I;360;239;40
_e1_28I;420;461;40
_e1_28I;480;467;40
_e1_28I;540;424;40
_e1_28I;600;384;40
_e1_28I;660;347;40
_e1_28I;720;398;40
_e1_28I;780;407;40
_e1_28I;840;441;40
_e1_28I;900;530;40
_e1_28I;960;530;40
_e1_28I;1020;553;40
_e1_28I;1080;491;40
_e1_28I;1140;497;40
_e1_28I;1200;371;40
_e1_28I;1260;281;40
_e1_28I;1320;294;40
_e1_28I;1380;206;40
_e1_28O;0;88;40
_e1_28O;60;56;40
_e1_28O;120;38;40
_e1_28O;180;34;40
_e1_28O;240;27;40
_e1_28O;300;148;40
_e1_28O;360;268;40
_e1_28O;420;503;40
_e1_28O;480;491;40
_e1_28O;540;435;40
_e1_28O;600;384;40
_e1_28O;660;342;40
_e1_28O;720;392;40
_e1_28O;780;404;40
_e1_28O;840;438;40
_e1_28O;900;526;40
_e1_28O;960;516;40
_e1_28O;1020;544;40
_e1_28O;1080;481;40
_e1_28O;1140;482;40
_e1_28O;1200;364;40
_e1_28O;1260;279;40
_e1_28O;1320;294;40
_e1_28O;1380;203;40
_e1_25I;0;558;40
_e1_25I;60;260;40
_e1_25I;120;203;40
_e1_25I;180;164;40
_e1_25I;240;215;40
_e1_25I;300;543;40
_e1_25I;360;940;40
_e1_25I;420;1072;40
_e1_25I;480;1039;40
_e1_25I;540;931;40
_e1_25I;600;820;40
_e1_25I;660;811;40
_e1_25I;720;1094;40
_e1_25I;780;1222;40
_e1_25I;840;1419;40
_e1_25I;900;1612;40
_e1_25I;960;2228;40
_e1_25I;1020;2155;40
_e1_25I;1080;1764;40
_e1_25I;1140;1333;40
_e1_25I;1200;974;40
_e1_25I;1260;848;40
_e1_25I;1320;764;40
_e1_25I;1380;620;40
38682;0;558;40
38682;60;260;40
38682;120;203;40
38682;180;164;40
38682;240;215;40
38682;300;543;40
38682;360;940;40
38682;420;1072;40
38682;480;1039;40
38682;540;931;40
38682;600;821;40
38682;660;811;40
38682;720;1094;40
38682;780;1222;40
38682;840;1419;40
38682;900;1612;40
38682;960;2228;40
38682;1020;2155;40
38682;1080;1764;40
38682;1140;1333;40
38682;1200;974;40
38682;1260;848;40
38682;1320;764;40
38682;1380;620;40
_8054I;0;137;40
_8054I;60;86;40
_8054I;120;49;40
_8054I;180;29;40
_8054I;240;77;40
_8054I;300;246;40
_8054I;360;704;40
_8054I;420;882;40
_8054I;480;657;40
_8054I;540;767;40
_8054I;600;677;40
_8054I;660;659;40
_8054I;720;668;40
_8054I;780;592;40
_8054I;840;644;40
_8054I;900;596;40
_8054I;960;581;40
_8054I;1020;631;40
_8054I;1080;666;40
_8054I;1140;575;40
_8054I;1200;493;40
_8054I;1260;506;40
_8054I;1320;402;40
_8054I;1380;267;40
_8054O;0;91;40
_8054O;60;48;40
_8054O;120;27;40
_8054O;180;27;40
_8054O;240;26;40
_8054O;300;94;40
_8054O;360;158;40
_8054O;420;437;40
_8054O;480;351;40
_8054O;540;376;40
_8054O;600;390;40
_8054O;660;440;40
_8054O;720;437;40
_8054O;780;486;40
_8054O;840;605;40
_8054O;900;778;40
_8054O;960;906;40
_8054O;1020;946;40
_8054O;1080;722;40
_8054O;1140;603;40
_8054O;1200;451;40
_8054O;1260;346;40
_8054O;1320;229;40
_8054O;1380;210;40
_e1_26I;0;287;40
_e1_26I;60;134;40
_e1_26I;120;105;40
_e1_26I;180;82;40
_e1_26I;240;102;40
_e1_26I;300;246;40
_e1_26I;360;443;40
_e1_26I;420;512;40
_e1_26I;480;507;40
_e1_26I;540;459;40
_e1_26I;600;410;40
_e1_26I;660;409;40
_e1_26I;720;551;40
_e1_26I;780;613;40
_e1_26I;840;712;40
_e1_26I;900;809;40
_e1_26I;960;1128;40
_e1_26I;1020;1086;40
_e1_26I;1080;891;40
_e1_26I;1140;677;40
_e1_26I;1200;492;40
_e1_26I;1260;426;40
_e1_26I;1320;382;40
_e1_26I;1380;313;40
_e1_26O;0;271;40
_e1_26O;60;126;40
_e1_26O;120;98;40
_e1_26O;180;82;40
_e1_26O;240;113;40
_e1_26O;300;297;40
_e1_26O;360;497;40
_e1_26O;420;560;40
_e1_26O;480;532;40
_e1_26O;540;472;40
_e1_26O;600;410;40
_e1_26O;660;402;40
_e1_26O;720;543;40
_e1_26O;780;609;40
_e1_26O;840;707;40
_e1_26O;900;803;40
_e1_26O;960;1100;40
_e1_26O;1020;1069;40
_e1_26O;1080;873;40
_e1_26O;1140;656;40
_e1_26O;1200;482;40
_e1_26O;1260;422;40
_e1_26O;1320;382;40
_e1_26O;1380;307;40
