id;lat;lon
27504I;40.448256450272524;-79.94260648145378
27504O;40.44825688507851;-79.94254386555328
361240I;40.44800411314928;-79.94421876747214
361240O;40.44800672464326;-79.9441779704784
229270;40.4479198568997;-79.94545186545209
50401MI;40.44825956296606;-79.94741514590928
50401MO;40.44823371718967;-79.94737816002043
27431MI;40.44823000989891;-79.94781455802352
27431MO;40.448239146968454;-79.9477666353092
350740I;40.44498114193003;-79.94649778426376
350740O;40.4449950210865;-79.94656168094237
27415MI;40.44751173048276;-79.94934104594604
27415MO;40.44752489213584;-79.94928255085365
294185I;40.44461158767382;-79.95033020511568
294185O;40.444615233492925;-79.95026431158443
27634;40.44464259926689;-79.95108346445039
226691I;40.446668894174444;-79.95311322336438
226691O;40.44669855967642;-79.95307875546706
339189I;40.446126012199954;-79.95386946211926
339189O;40.446150315729206;-79.9538415074219
298667I;40.44553672611631;-79.95457098134091
298667O;40.44556765863153;-79.95453827713244
313950MI;40.4450026452149;-79.95551259811046
313950MO;40.445023728947156;-79.95548290790228
27442I;40.44387103624503;-79.95404132583496
27442O;40.44382738752659;-79.95409624439696
343115I;40.44432008829517;-79.95636903393091
343115O;40.444350543739894;-79.95634100679
384798;40.44364432915359;-79.95719692963722
27456;40.4422331095635;-79.9569272875315
255368I;40.4426363744073;-79.958960127722
255368O;40.44267897039033;-79.95893371808639
269038;40.441898085189095;-79.95739574725089
276410;40.4414230469555;-79.9580390928249
320842I;40.44093806438615;-79.95870835185133
320842O;40.440900149940056;-79.95875393587075
27843MI;40.43955502436475;-79.95908736889889
27843MO;40.43951004351806;-79.95914008108738
270733;40.4396985000143;-79.9581938299734
294101I;40.43862743483603;-79.95968941130789
294101O;40.43860244279818;-79.95971459381869
27633MI;40.43777217149991;-79.96035477726883
27633MO;40.43774609291101;-79.96039491012681
27626O;40.436886016685825;-79.96276998411092
27626I;40.43684956888344;-79.96281535167806
260073I;40.43987728075506;-79.9624135622336
260073O;40.43988911268847;-79.96239630784189
373944MI;40.44162964802993;-79.96040336468116
373944MO;40.44167093873047;-79.96037378592027
359206;40.4451047085632;-79.95091126193469
280214I;40.446322824614754;-79.94999539280462
280214O;40.44624451758058;-79.94999045196472
250229;40.4457403759763;-79.9499796731787
27414I;40.44565862507925;-79.94879444966311
27414O;40.44566760866028;-79.94884960184567
5990I;40.4445317467881;-79.9473067334835
5990O;40.4444721885535;-79.9472172897121
19400;40.441303904395696;-79.9573079060203
38682;40.441450196065894;-79.958911682703
8054O;40.447233387240296;-79.9450000556455
8054I;40.44726065649611;-79.94495526042965
